cell_type,action,energy,age,reward
1,0,99.1,1,0.0
1,2,102.99238646848423,2,0.0
2,0,102.36397418908439,3,0.0
1,3,95.27298064181328,3,0.0
2,0,43.33068909511729,4,0.0
1,0,102.60712077237923,2,0.0
1,0,99.07503617952469,1,0.0
2,3,95.7306890951173,4,0.0
2,0,42.090291905503705,5,0.0
1,0,45.86771892912778,5,0.0
2,0,96.32631771641933,2,0.0
1,0,46.77152569488566,4,0.0
1,0,46.746132751903325,4,0.0
2,0,90.78379853562103,6,0.0
1,0,43.98784890171578,7,0.0
2,3,38.38379853562103,7,0.0
2,2,92.58379853562103,7,0.0
1,2,105.12572054590103,3,0.0
1,0,44.87717493873908,6,0.0
2,2,93.85618608634675,3,0.0
2,3,40.14647799185046,8,0.0
2,2,41.364490897308265,8,0.0
2,2,41.70550412758831,8,0.0
2,1,41.97027034810479,6,0.0
2,0,92.50755477075319,7,0.0
1,1,83.67305254654912,9,0.0
1,2,62.40808917549106,7,0.0
2,3,42.924164399473604,8,0.0
1,0,41.18728426456055,10,0.0
2,3,35.24971235274739,10,0.0
2,2,98.76804690334036,1,0.0
2,1,90.05378506700337,8,0.0
2,3,98.76804690334036,1,0.0
2,0,98.76804690334036,1,0.0
1,0,43.0028207104902,8,0.0
2,0,37.64084784922274,9,0.0
2,3,98.76804690334036,1,0.0
2,3,42.435772161545565,11,0.0
2,1,96.32035586068892,2,0.0
2,2,45.00621654272441,6,0.0
2,0,96.32441675904448,2,0.0
1,2,64.36791259104524,12,0.0
2,0,77.37412911179187,12,0.0
1,0,42.07009810226829,9,0.0
1,0,97.14331256928337,2,0.0
1,1,97.14331256928337,2,0.0
1,0,99.06727739177809,1,0.0
1,0,41.14791327869515,10,0.0
2,0,98.75636985570412,1,0.0
2,1,98.75636985570412,1,0.0
2,0,30.37412911179188,12,0.0
1,1,96.56727739177809,1,-2.5
2,0,98.75636985570412,1,0.0
2,1,98.75636985570412,1,0.0
1,3,47.63705002890529,3,0.0
2,3,49.89425163305912,3,0.0
1,1,89.70870631354698,3,-2.5
1,0,67.3702112081349,13,0.0
1,0,42.06312270287465,9,0.0
1,2,99.06539374426362,1,0.0
1,0,39.29979734386541,12,0.0
1,1,92.70870631354698,3,-2.5
2,2,48.13204325353688,2,0.0
1,3,99.06539374426362,1,0.0
2,2,98.75385832568482,1,0.0
2,1,46.76007486840923,7,0.0
2,0,96.31022818138894,2,0.0
1,0,48.599032440152655,2,0.0
2,2,37.533063125153866,13,0.0
1,1,96.57696839988435,1,-2.5
1,1,86.28567471343133,4,-2.5
1,1,96.57696839988435,1,-2.5
1,1,99.07696839988435,1,0.0
