generation,total_population,plant_count,herbivore_count,predator_count,diversity_score,temperature,light,births,deaths,hive_experiences
0,48,15,10,13,0.9503408138220045,0.5105743493274439,0.7832186483650676,4,0,0
5,63,15,17,21,0.9660930831936045,0.5568991740782205,0.6847848281091831,24,0,0
10,120,27,34,49,0.9636478424819385,0.54544806697487,0.6873914235951799,38,0,0
15,404,89,124,181,0.9607663956969973,0.5428560071294872,0.6853822969941333,147,8,4
20,467,88,124,245,0.914807289539437,0.5529242337156672,0.6160727067824439,230,12,7
25,515,93,121,291,0.8846903195406057,0.5616061156378,0.7039047559543227,298,19,12
30,546,103,115,318,0.8716076546006664,0.5082516904393152,0.7301718727982132,355,29,15
35,596,136,108,342,0.8787542954098007,0.4958812210408729,0.7373094391461972,433,41,19
40,608,140,92,366,0.8459929383117583,0.5197349116271098,0.7830857779297764,478,64,0
45,593,147,56,380,0.7771416391569731,0.49178456207340043,0.7529758745002475,508,103,2
50,602,166,47,379,0.7697407378469424,0.5002099863131042,0.7595101634484905,548,128,2
55,608,183,43,372,0.7730872729434702,0.5438925039918622,0.7827280627644403,579,146,2
60,583,195,36,342,0.7747562658370157,0.541708960676773,0.7569381007625635,605,192,2
65,573,214,31,318,0.7759175369920966,0.5602764805736417,0.7420946170130555,643,232,2
70,540,231,29,270,0.789055442132199,0.5658169360914204,0.7733852249809781,674,289,2
75,514,252,25,221,0.7822836782455769,0.5754575535714022,0.7042518391259046,712,346,2
80,512,278,23,195,0.7633548143768747,0.5581618976538825,0.7583631521695209,754,380,2
85,497,298,25,158,0.7476709235845282,0.5825091696294159,0.8007941718828371,792,423,2
90,479,313,26,124,0.7154791057934878,0.6059256956350836,0.7550879976244972,821,460,2
95,485,341,26,102,0.6667008110314226,0.6052573555624227,0.7626855537852129,869,488,2
100,486,365,27,78,0.6091572504404529,0.6037321112420851,0.8023415511589392,914,517,2
105,490,387,27,60,0.5490962931897674,0.6250339769647965,0.7609188372485837,956,542,2
110,508,418,26,44,0.4773897483725049,0.6226292274100894,0.7554931072697768,1006,567,2
115,515,441,25,29,0.40204356279478737,0.6203278224170259,0.8467093593263634,1051,594,2
120,536,471,27,18,0.34416005228853364,0.6425652851293525,0.894927134263282,1113,615,2
125,549,491,27,11,0.2970555993920201,0.6472409548035333,0.8936585909819238,1170,636,2
130,602,537,27,8,0.2717761925631524,0.6414167510476031,0.8611006303844647,1251,651,2
135,618,556,27,5,0.24655001044652616,0.6571444844858318,0.9080846556869067,1315,675,2
140,635,574,27,4,0.23437022509686964,0.6461393940213666,0.906096418863702,1377,699,2
145,663,605,28,0,0.19769026378827528,0.6568433873243016,0.955713357166385,1472,726,2
150,691,632,28,1,0.2011623394237114,0.6000114274627872,0.9581627422019464,1548,754,2
155,728,667,28,3,0.20764407937066082,0.6162665633835341,0.9760498361418637,1661,796,2
160,754,691,30,3,0.20956953856296365,0.6186802388764742,0.9411538565099791,1759,824,2
165,763,697,33,3,0.21869614852427702,0.626078030507295,0.9480098575973175,1815,847,2
170,766,700,33,3,0.2180216088881362,0.5695199397293903,0.8914323675132491,1848,866,2
175,765,699,33,3,0.21824595354439918,0.5814983511991421,0.900322348527908,1873,883,2
180,765,697,35,3,0.22543744418325412,0.6081387430086039,0.9394476563652071,1900,895,2
185,771,697,35,2,0.22486846880143907,0.6268688520392783,0.9945526869716498,1928,909,2
190,773,699,35,2,0.22441109950902788,0.6356774902456679,0.9796709285225451,1945,913,2
195,774,700,35,2,0.22418316875243124,0.6175733948281488,0.9615083970673941,1964,920,2
200,773,700,35,1,0.21715265250849208,0.6161283328722699,0.9256807640805149,1987,931,2
205,774,699,37,1,0.2239125424639289,0.6223143624664331,0.9123159618083018,2003,936,2
210,778,700,40,1,0.23320251675024453,0.6528808639570551,0.9280026900203702,2014,938,2
215,778,700,40,1,0.23320251675024453,0.6447299001537438,0.9045500936127718,2024,944,2
220,776,700,39,0,0.22144099554465577,0.6654576781079556,0.938136983978697,2031,947,2
225,776,700,39,0,0.22144099554465577,0.6512489756716443,0.9539352288540242,2036,950,2
230,779,700,42,0,0.2307799219934648,0.6704213544517532,0.9339063348980143,2044,951,2
235,779,700,42,0,0.2307799219934648,0.7028477947055833,0.8729758477267491,2057,956,2
240,783,700,46,0,0.24275748940545172,0.6641591156325721,0.8369355336798442,2066,957,2
245,783,700,46,0,0.24275748940545172,0.709202319423856,0.8344227787665972,2072,958,2
250,785,700,48,0,0.24855622657969711,0.7358459662529363,0.8146391333778387,2078,959,2
255,789,700,52,0,0.25979930747785307,0.7403585968613354,0.7812360430040451,2095,966,2
260,914,732,113,32,0.5039455817264923,0.736178628646423,0.7904846190888359,2132,976,3
265,1145,763,196,140,0.755112563506285,0.7550313236712993,0.7620226216008512,2233,993,6
270,1013,761,206,0,0.4904247342070111,0.750321892064907,0.8014903286726507,2278,1164,12
275,1094,778,243,27,0.6080013838806907,0.7574780795169844,0.7892455624788975,2314,1173,14
280,1100,775,246,33,0.6252233280194763,0.7217148087831757,0.8546520958836058,2338,1177,15
285,1098,770,241,41,0.6412272070635338,0.7193226128971387,0.9418512062483162,2363,1190,16
290,1099,768,237,48,0.65355988062448,0.6870127991497484,0.9079176353943561,2384,1199,17
295,1089,768,224,51,0.6507520320994912,0.6765633365321827,0.8715630210327099,2398,1213,17
300,1083,768,217,52,0.6477528500103558,0.6812660554500801,0.846911591764965,2412,1226,0
305,1077,768,213,50,0.6409603347274523,0.6476344018026691,0.904582770047526,2427,1236,0
310,1065,768,202,49,0.6305643022871528,0.666128587958483,0.8880348189301923,2436,1250,0
315,1037,766,181,44,0.6030335500020286,0.6207214095078102,0.9233874700391439,2444,1279,0
320,1020,764,168,36,0.5748585747747629,0.6278600927373822,0.937673323218366,2458,1307,0
325,1009,764,162,31,0.556415319811888,0.5997794010184423,0.908557560940574,2472,1324,0
330,1006,764,165,25,0.5436885495062368,0.6458107135922335,0.8822985836322952,2483,1332,0
335,997,764,162,19,0.5231262027732914,0.6085790939264089,0.8688710554640198,2497,1343,0
340,983,764,159,8,0.48215825196930107,0.6086546326915809,0.8939443355656701,2509,1360,0
345,982,764,159,7,0.4781786825396307,0.6164282330647148,0.9360398988265559,2520,1363,0
350,971,759,166,4,0.47071909474309576,0.6062551352318777,0.9083132293041418,2537,1383,0
355,971,759,169,1,0.4587034377743053,0.5844717142802976,0.8803597442398569,2556,1390,0
360,968,752,173,1,0.46513200784835096,0.5945579217292837,0.9101968745317384,2567,1397,0
365,939,716,181,0,0.47704340880427565,0.5261657108581113,0.8902987119236112,2588,1436,0
370,944,716,186,0,0.4821856525693894,0.5131148294910634,0.8779571785435037,2605,1438,0
375,956,715,191,0,0.490626963978467,0.5018574496659971,0.8204711925705152,2622,1443,0
380,957,713,194,0,0.4940829294335889,0.48110377519985725,0.8335447950878093,2640,1447,0
385,952,700,202,0,0.5052203942460225,0.5119837493730431,0.8144990295885746,2664,1462,0
390,945,697,198,0,0.5024368384873822,0.5187355354040715,0.8600613907035919,2692,1477,0
395,948,700,198,0,0.5015698834653497,0.5375885646264978,0.8532677776943461,2719,1480,0
400,947,699,198,0,0.5018585649341798,0.5881427033438235,0.8148599837014686,2748,1495,0
405,949,698,201,0,0.5048914628851114,0.6016612529375642,0.8038616960566669,2782,1509,0
410,952,697,205,0,0.5087579284507977,0.645167212764927,0.8103898312058675,2823,1523,0
415,948,694,204,0,0.5087337804084313,0.5962909563015595,0.7812660416542808,2876,1544,0
420,950,699,201,0,0.5046036942256534,0.6060651616561198,0.8119764205092139,2926,1565,0
425,949,699,206,0,0.5068148716943955,0.5784486647781629,0.841018772938261,2973,1594,0
430,945,698,203,0,0.504416888587863,0.5964475424464236,0.9097525774799201,3009,1615,0
435,948,697,207,0,0.5082689869530298,0.6199156108515571,0.885896439986608,3059,1636,0
440,948,696,208,0,0.5094316901836756,0.6354262238718479,0.8241061639597014,3102,1655,0
445,951,696,211,0,0.5120309307937483,0.6040014577059165,0.8249000542989904,3152,1677,0
450,957,697,216,0,0.5159762169205299,0.6002250488196818,0.8627881033893647,3206,1700,0
455,956,698,214,0,0.5140180072186071,0.5941627968985959,0.825688614243515,3259,1730,0
460,956,698,218,0,0.515874643094268,0.5445332703740557,0.8755692984344504,3321,1765,0
465,958,698,220,0,0.5175206585807066,0.5522615108535418,0.8394140324887239,3377,1793,0
470,977,695,231,0,0.5308804112607495,0.5308396652044909,0.8698090768875184,3446,1823,0
475,986,697,235,3,0.5503539223531291,0.5505287360781416,0.8653988150440801,3518,1853,0
480,981,698,238,4,0.5536180539960065,0.5441887119634654,0.8081014932293658,3598,1906,0
485,982,697,239,5,0.5590036848706929,0.6051533658341158,0.78726356566143,3667,1944,0
490,988,698,242,7,0.5690011140245501,0.5940384647400261,0.8014906719486747,3732,1982,0
495,981,693,240,7,0.5691079219031029,0.572176914524123,0.8011085196469265,3818,2035,0
500,989,696,244,8,0.5748204709005191,0.5796046394192889,0.8252197279007804,3905,2076,0
